======================================================================
TAA-PINN TRAINING
======================================================================
Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6
Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights
----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------
  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))
Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0
Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s
Data loading complete!
----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters
----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled
Initialization complete!
======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06
Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:   7%|▋         | 730/10000 [22:32<5:37:12,  2.18s/epoch, loss=4.185, lr=9.9e-05]
Training:   7%|▋         | 731/10000 [22:32<5:39:16,  2.20s/epoch, loss=4.185, lr=9.9e-05]
Training:   7%|▋         | 731/10000 [22:34<5:39:16,  2.20s/epoch, loss=3.959, lr=9.9e-05]
Training:   7%|▋         | 732/10000 [22:34<5:38:06,  2.19s/epoch, loss=3.959, lr=9.9e-05]
Training:   7%|▋         | 732/10000 [22:36<5:38:06,  2.19s/epoch, loss=3.914, lr=9.9e-05]
Training:   7%|▋         | 733/10000 [22:36<5:37:55,  2.19s/epoch, loss=3.914, lr=9.9e-05]
Training:   7%|▋         | 733/10000 [22:38<5:37:55,  2.19s/epoch, loss=4.316, lr=9.9e-05]
Training:   7%|▋         | 734/10000 [22:38<5:39:23,  2.20s/epoch, loss=4.316, lr=9.9e-05]
Training:   7%|▋         | 734/10000 [22:41<5:39:23,  2.20s/epoch, loss=3.38, lr=9.9e-05] 
Training:   7%|▋         | 735/10000 [22:41<5:38:10,  2.19s/epoch, loss=3.38, lr=9.9e-05]
Training:   7%|▋         | 735/10000 [22:43<5:38:10,  2.19s/epoch, loss=3.157, lr=9.9e-05]
Training:   7%|▋         | 736/10000 [22:43<5:38:16,  2.19s/epoch, loss=3.157, lr=9.9e-05]
Training:   7%|▋         | 736/10000 [22:45<5:38:16,  2.19s/epoch, loss=4.916, lr=9.9e-05]
Training:   7%|▋         | 737/10000 [22:45<5:38:22,  2.19s/epoch, loss=4.916, lr=9.9e-05]
Training:   7%|▋         | 737/10000 [22:47<5:38:22,  2.19s/epoch, loss=3.279, lr=9.9e-05]
Training:   7%|▋         | 738/10000 [22:47<5:38:49,  2.19s/epoch, loss=3.279, lr=9.9e-05]
Training:   7%|▋         | 738/10000 [22:49<5:38:49,  2.19s/epoch, loss=6.497, lr=9.9e-05]
Training:   7%|▋         | 739/10000 [22:49<5:38:08,  2.19s/epoch, loss=6.497, lr=9.9e-05]
Training:   7%|▋         | 739/10000 [22:52<5:38:08,  2.19s/epoch, loss=5.4, lr=9.9e-05]  
Training:   7%|▋         | 740/10000 [22:52<5:38:41,  2.19s/epoch, loss=5.4, lr=9.9e-05]
Training:   7%|▋         | 740/10000 [22:54<5:38:41,  2.19s/epoch, loss=4.259, lr=9.9e-05]
Training:   7%|▋         | 741/10000 [22:54<5:39:36,  2.20s/epoch, loss=4.259, lr=9.9e-05]
Training:   7%|▋         | 741/10000 [22:56<5:39:36,  2.20s/epoch, loss=3.719, lr=9.9e-05]
Training:   7%|▋         | 742/10000 [22:56<5:38:31,  2.19s/epoch, loss=3.719, lr=9.9e-05]
Training:   7%|▋         | 742/10000 [22:58<5:38:31,  2.19s/epoch, loss=4.279, lr=9.9e-05]
Training:   7%|▋         | 743/10000 [22:58<5:38:01,  2.19s/epoch, loss=4.279, lr=9.9e-05]
Training:   7%|▋         | 743/10000 [23:00<5:38:01,  2.19s/epoch, loss=3.451, lr=9.9e-05]
Training:   7%|▋         | 744/10000 [23:00<5:38:52,  2.20s/epoch, loss=3.451, lr=9.9e-05]
Training:   7%|▋         | 744/10000 [23:03<5:38:52,  2.20s/epoch, loss=4.521, lr=9.9e-05]
Training:   7%|▋         | 745/10000 [23:03<5:36:56,  2.18s/epoch, loss=4.521, lr=9.9e-05]
Training:   7%|▋         | 745/10000 [23:05<5:36:56,  2.18s/epoch, loss=3.731, lr=9.9e-05]
Training:   7%|▋         | 746/10000 [23:05<5:35:03,  2.17s/epoch, loss=3.731, lr=9.9e-05]
Training:   7%|▋         | 746/10000 [23:07<5:35:03,  2.17s/epoch, loss=4.208, lr=9.9e-05]
Training:   7%|▋         | 747/10000 [23:07<5:34:23,  2.17s/epoch, loss=4.208, lr=9.9e-05]
Training:   7%|▋         | 747/10000 [23:09<5:34:23,  2.17s/epoch, loss=4.412, lr=9.9e-05]
Training:   7%|▋         | 748/10000 [23:09<5:35:57,  2.18s/epoch, loss=4.412, lr=9.9e-05]
Training:   7%|▋         | 748/10000 [23:11<5:35:57,  2.18s/epoch, loss=3.337, lr=9.9e-05]
Training:   7%|▋         | 749/10000 [23:11<5:36:39,  2.18s/epoch, loss=3.337, lr=9.9e-05]
Training:   7%|▋         | 749/10000 [23:13<5:36:39,  2.18s/epoch, loss=4.448, lr=9.9e-05]
Training:   8%|▊         | 750/10000 [23:13<5:36:36,  2.18s/epoch, loss=4.448, lr=9.9e-05]
Training:   8%|▊         | 750/10000 [23:16<5:36:36,  2.18s/epoch, loss=2.725, lr=9.9e-05]
Training:   8%|▊         | 751/10000 [23:16<5:36:36,  2.18s/epoch, loss=2.725, lr=9.9e-05]
Training:   8%|▊         | 751/10000 [23:18<5:36:36,  2.18s/epoch, loss=5.389, lr=9.9e-05]
Training:   8%|▊         | 752/10000 [23:18<5:37:17,  2.19s/epoch, loss=5.389, lr=9.9e-05]
Training:   8%|▊         | 752/10000 [23:20<5:37:17,  2.19s/epoch, loss=5.11, lr=9.9e-05] 
Training:   8%|▊         | 753/10000 [23:20<5:37:29,  2.19s/epoch, loss=5.11, lr=9.9e-05]
Training:   8%|▊         | 753/10000 [23:22<5:37:29,  2.19s/epoch, loss=3.616, lr=9.9e-05]
Training:   8%|▊         | 754/10000 [23:22<5:37:59,  2.19s/epoch, loss=3.616, lr=9.9e-05]
Training:   8%|▊         | 754/10000 [23:24<5:37:59,  2.19s/epoch, loss=3.703, lr=9.9e-05]
Training:   8%|▊         | 755/10000 [23:24<5:38:25,  2.20s/epoch, loss=3.703, lr=9.9e-05]
Training:   8%|▊         | 755/10000 [23:27<5:38:25,  2.20s/epoch, loss=3.321, lr=9.9e-05]
Training:   8%|▊         | 756/10000 [23:27<5:37:16,  2.19s/epoch, loss=3.321, lr=9.9e-05]
Training:   8%|▊         | 756/10000 [23:29<5:37:16,  2.19s/epoch, loss=3.403, lr=9.9e-05]
Training:   8%|▊         | 757/10000 [23:29<5:38:01,  2.19s/epoch, loss=3.403, lr=9.9e-05]
Training:   8%|▊         | 757/10000 [23:31<5:38:01,  2.19s/epoch, loss=3.011, lr=9.9e-05]
Training:   8%|▊         | 758/10000 [23:31<5:37:59,  2.19s/epoch, loss=3.011, lr=9.9e-05]
Training:   8%|▊         | 758/10000 [23:33<5:37:59,  2.19s/epoch, loss=3.413, lr=9.9e-05]
Training:   8%|▊         | 759/10000 [23:33<5:38:34,  2.20s/epoch, loss=3.413, lr=9.9e-05]
Training:   8%|▊         | 759/10000 [23:35<5:38:34,  2.20s/epoch, loss=4.768, lr=9.9e-05]
Training:   8%|▊         | 760/10000 [23:35<5:37:25,  2.19s/epoch, loss=4.768, lr=9.9e-05]
Training:   8%|▊         | 760/10000 [23:38<5:37:25,  2.19s/epoch, loss=3.606, lr=9.9e-05]
Training:   8%|▊         | 761/10000 [23:38<5:38:06,  2.20s/epoch, loss=3.606, lr=9.9e-05]
Training:   8%|▊         | 761/10000 [23:40<5:38:06,  2.20s/epoch, loss=4.378, lr=9.9e-05]
Training:   8%|▊         | 762/10000 [23:40<5:37:55,  2.19s/epoch, loss=4.378, lr=9.9e-05]
Training:   8%|▊         | 762/10000 [23:42<5:37:55,  2.19s/epoch, loss=4.636, lr=9.9e-05]
Training:   8%|▊         | 763/10000 [23:42<5:37:27,  2.19s/epoch, loss=4.636, lr=9.9e-05]
Training:   8%|▊         | 763/10000 [23:44<5:37:27,  2.19s/epoch, loss=3.353, lr=9.9e-05]
Training:   8%|▊         | 764/10000 [23:44<5:36:52,  2.19s/epoch, loss=3.353, lr=9.9e-05]
Training:   8%|▊         | 764/10000 [23:46<5:36:52,  2.19s/epoch, loss=4.086, lr=9.9e-05]
Training:   8%|▊         | 765/10000 [23:46<5:37:50,  2.19s/epoch, loss=4.086, lr=9.9e-05]
Training:   8%|▊         | 765/10000 [23:48<5:37:50,  2.19s/epoch, loss=3.356, lr=9.9e-05]
Training:   8%|▊         | 766/10000 [23:48<5:37:01,  2.19s/epoch, loss=3.356, lr=9.9e-05]
Training:   8%|▊         | 766/10000 [23:51<5:37:01,  2.19s/epoch, loss=3.201, lr=9.9e-05]
Training:   8%|▊         | 767/10000 [23:51<5:36:25,  2.19s/epoch, loss=3.201, lr=9.9e-05]
Training:   8%|▊         | 767/10000 [23:53<5:36:25,  2.19s/epoch, loss=2.965, lr=9.9e-05]
Training:   8%|▊         | 768/10000 [23:53<5:37:10,  2.19s/epoch, loss=2.965, lr=9.9e-05]
Training:   8%|▊         | 768/10000 [23:55<5:37:10,  2.19s/epoch, loss=3.463, lr=9.9e-05]
Training:   8%|▊         | 769/10000 [23:55<5:37:50,  2.20s/epoch, loss=3.463, lr=9.9e-05]
Training:   8%|▊         | 769/10000 [23:57<5:37:50,  2.20s/epoch, loss=3.069, lr=9.9e-05]
Training:   8%|▊         | 770/10000 [23:57<5:37:30,  2.19s/epoch, loss=3.069, lr=9.9e-05]
Training:   8%|▊         | 770/10000 [23:59<5:37:30,  2.19s/epoch, loss=4.517, lr=9.9e-05]
Training:   8%|▊         | 771/10000 [23:59<5:37:54,  2.20s/epoch, loss=4.517, lr=9.9e-05]
Training:   8%|▊         | 771/10000 [24:02<5:37:54,  2.20s/epoch, loss=3.574, lr=9.9e-05]
Training:   8%|▊         | 772/10000 [24:02<5:38:24,  2.20s/epoch, loss=3.574, lr=9.9e-05]
Training:   8%|▊         | 772/10000 [24:04<5:38:24,  2.20s/epoch, loss=3.383, lr=9.9e-05]
Training:   8%|▊         | 773/10000 [24:04<5:37:12,  2.19s/epoch, loss=3.383, lr=9.9e-05]
Training:   8%|▊         | 773/10000 [24:06<5:37:12,  2.19s/epoch, loss=4.226, lr=9.9e-05]
Training:   8%|▊         | 774/10000 [24:06<5:37:32,  2.20s/epoch, loss=4.226, lr=9.9e-05]
Training:   8%|▊         | 774/10000 [24:08<5:37:32,  2.20s/epoch, loss=3.317, lr=9.9e-05]
Training:   8%|▊         | 775/10000 [24:08<5:38:19,  2.20s/epoch, loss=3.317, lr=9.9e-05]
Training:   8%|▊         | 775/10000 [24:10<5:38:19,  2.20s/epoch, loss=4.609, lr=9.9e-05]
Training:   8%|▊         | 776/10000 [24:10<5:35:54,  2.18s/epoch, loss=4.609, lr=9.9e-05]
Training:   8%|▊         | 776/10000 [24:13<5:35:54,  2.18s/epoch, loss=3.587, lr=9.9e-05]
Training:   8%|▊         | 777/10000 [24:13<5:35:00,  2.18s/epoch, loss=3.587, lr=9.9e-05]
Training:   8%|▊         | 777/10000 [24:15<5:35:00,  2.18s/epoch, loss=4.2, lr=9.9e-05]  
Training:   8%|▊         | 778/10000 [24:15<5:34:11,  2.17s/epoch, loss=4.2, lr=9.9e-05]
Training:   8%|▊         | 778/10000 [24:17<5:34:11,  2.17s/epoch, loss=3.874, lr=9.9e-05]
Training:   8%|▊         | 779/10000 [24:17<5:34:36,  2.18s/epoch, loss=3.874, lr=9.9e-05]
Training:   8%|▊         | 779/10000 [24:19<5:34:36,  2.18s/epoch, loss=3.156, lr=9.9e-05]
Training:   8%|▊         | 780/10000 [24:19<5:33:52,  2.17s/epoch, loss=3.156, lr=9.9e-05]
Training:   8%|▊         | 780/10000 [24:21<5:33:52,  2.17s/epoch, loss=3.759, lr=9.9e-05]
Training:   8%|▊         | 781/10000 [24:21<5:33:03,  2.17s/epoch, loss=3.759, lr=9.9e-05]
Training:   8%|▊         | 781/10000 [24:23<5:33:03,  2.17s/epoch, loss=3.086, lr=9.9e-05]
Training:   8%|▊         | 782/10000 [24:23<5:33:19,  2.17s/epoch, loss=3.086, lr=9.9e-05]
Training:   8%|▊         | 782/10000 [24:26<5:33:19,  2.17s/epoch, loss=3.456, lr=9.9e-05]
Training:   8%|▊         | 783/10000 [24:26<5:34:07,  2.18s/epoch, loss=3.456, lr=9.9e-05]
Training:   8%|▊         | 783/10000 [24:28<5:34:07,  2.18s/epoch, loss=3.344, lr=9.9e-05]
Training:   8%|▊         | 784/10000 [24:28<5:35:30,  2.18s/epoch, loss=3.344, lr=9.9e-05]
Training:   8%|▊         | 784/10000 [24:30<5:35:30,  2.18s/epoch, loss=2.912, lr=9.9e-05]
Training:   8%|▊         | 785/10000 [24:30<5:35:34,  2.18s/epoch, loss=2.912, lr=9.9e-05]
Training:   8%|▊         | 785/10000 [24:32<5:35:34,  2.18s/epoch, loss=3.231, lr=9.8e-05]
Training:   8%|▊         | 786/10000 [24:32<5:35:36,  2.19s/epoch, loss=3.231, lr=9.8e-05]
Training:   8%|▊         | 786/10000 [24:34<5:35:36,  2.19s/epoch, loss=2.981, lr=9.8e-05]
Training:   8%|▊         | 787/10000 [24:34<5:37:57,  2.20s/epoch, loss=2.981, lr=9.8e-05]
Training:   8%|▊         | 787/10000 [24:37<5:37:57,  2.20s/epoch, loss=2.914, lr=9.8e-05]
Training:   8%|▊         | 788/10000 [24:37<5:36:11,  2.19s/epoch, loss=2.914, lr=9.8e-05]
Training:   8%|▊         | 788/10000 [24:39<5:36:11,  2.19s/epoch, loss=2.864, lr=9.8e-05]
Training:   8%|▊         | 789/10000 [24:39<5:36:55,  2.19s/epoch, loss=2.864, lr=9.8e-05]
Training:   8%|▊         | 789/10000 [24:41<5:36:55,  2.19s/epoch, loss=2.835, lr=9.8e-05]
Training:   8%|▊         | 790/10000 [24:41<5:37:12,  2.20s/epoch, loss=2.835, lr=9.8e-05]
Training:   8%|▊         | 790/10000 [24:43<5:37:12,  2.20s/epoch, loss=2.575, lr=9.8e-05]
Training:   8%|▊         | 791/10000 [24:43<5:44:25,  2.24s/epoch, loss=2.575, lr=9.8e-05]
Training:   8%|▊         | 791/10000 [24:46<5:44:25,  2.24s/epoch, loss=3.174, lr=9.8e-05]
Training:   8%|▊         | 792/10000 [24:46<5:42:48,  2.23s/epoch, loss=3.174, lr=9.8e-05]
Training:   8%|▊         | 792/10000 [24:48<5:42:48,  2.23s/epoch, loss=3.169, lr=9.8e-05]
Training:   8%|▊         | 793/10000 [24:48<5:40:53,  2.22s/epoch, loss=3.169, lr=9.8e-05]
Training:   8%|▊         | 793/10000 [24:50<5:40:53,  2.22s/epoch, loss=2.652, lr=9.8e-05]
Training:   8%|▊         | 794/10000 [24:50<5:40:41,  2.22s/epoch, loss=2.652, lr=9.8e-05]
Training:   8%|▊         | 794/10000 [24:52<5:40:41,  2.22s/epoch, loss=2.62, lr=9.8e-05] 
Training:   8%|▊         | 795/10000 [24:52<5:38:41,  2.21s/epoch, loss=2.62, lr=9.8e-05]
Training:   8%|▊         | 795/10000 [24:54<5:38:41,  2.21s/epoch, loss=3.284, lr=9.8e-05]
Training:   8%|▊         | 796/10000 [24:54<5:37:28,  2.20s/epoch, loss=3.284, lr=9.8e-05]
Training:   8%|▊         | 796/10000 [24:57<5:37:28,  2.20s/epoch, loss=3.071, lr=9.8e-05]
Training:   8%|▊         | 797/10000 [24:57<5:36:31,  2.19s/epoch, loss=3.071, lr=9.8e-05]
Training:   8%|▊         | 797/10000 [24:59<5:36:31,  2.19s/epoch, loss=3.858, lr=9.8e-05]
Training:   8%|▊         | 798/10000 [24:59<5:37:20,  2.20s/epoch, loss=3.858, lr=9.8e-05]
Training:   8%|▊         | 798/10000 [25:01<5:37:20,  2.20s/epoch, loss=3.561, lr=9.8e-05]
Training:   8%|▊         | 799/10000 [25:01<5:35:38,  2.19s/epoch, loss=3.561, lr=9.8e-05]
Training:   8%|▊         | 799/10000 [25:03<5:35:38,  2.19s/epoch, loss=3.166, lr=9.8e-05]
Training:   8%|▊         | 800/10000 [25:03<5:36:29,  2.19s/epoch, loss=3.166, lr=9.8e-05]
Training:   8%|▊         | 800/10000 [25:05<5:36:29,  2.19s/epoch, loss=3.145, lr=9.8e-05]
Training:   8%|▊         | 801/10000 [25:05<5:37:10,  2.20s/epoch, loss=3.145, lr=9.8e-05]
Training:   8%|▊         | 801/10000 [25:07<5:37:10,  2.20s/epoch, loss=4.073, lr=9.8e-05]
Training:   8%|▊         | 802/10000 [25:07<5:36:07,  2.19s/epoch, loss=4.073, lr=9.8e-05]
Training:   8%|▊         | 802/10000 [25:10<5:36:07,  2.19s/epoch, loss=3.282, lr=9.8e-05]
Training:   8%|▊         | 803/10000 [25:10<5:36:01,  2.19s/epoch, loss=3.282, lr=9.8e-05]
Training:   8%|▊         | 803/10000 [25:12<5:36:01,  2.19s/epoch, loss=3.622, lr=9.8e-05]
Training:   8%|▊         | 804/10000 [25:12<5:37:00,  2.20s/epoch, loss=3.622, lr=9.8e-05]
Training:   8%|▊         | 804/10000 [25:14<5:37:00,  2.20s/epoch, loss=3.503, lr=9.8e-05]
Training:   8%|▊         | 805/10000 [25:14<5:36:19,  2.19s/epoch, loss=3.503, lr=9.8e-05]
Training:   8%|▊         | 805/10000 [25:16<5:36:19,  2.19s/epoch, loss=2.838, lr=9.8e-05]
Training:   8%|▊         | 806/10000 [25:16<5:36:50,  2.20s/epoch, loss=2.838, lr=9.8e-05]
Training:   8%|▊         | 806/10000 [25:18<5:36:50,  2.20s/epoch, loss=4.635, lr=9.8e-05]
Training:   8%|▊         | 807/10000 [25:18<5:37:43,  2.20s/epoch, loss=4.635, lr=9.8e-05]
Training:   8%|▊         | 807/10000 [25:21<5:37:43,  2.20s/epoch, loss=4.795, lr=9.8e-05]
Training:   8%|▊         | 808/10000 [25:21<5:36:45,  2.20s/epoch, loss=4.795, lr=9.8e-05]
Training:   8%|▊         | 808/10000 [25:23<5:36:45,  2.20s/epoch, loss=3.559, lr=9.8e-05]
Training:   8%|▊         | 809/10000 [25:23<5:36:05,  2.19s/epoch, loss=3.559, lr=9.8e-05]
Training:   8%|▊         | 809/10000 [25:25<5:36:05,  2.19s/epoch, loss=3.666, lr=9.8e-05]
Training:   8%|▊         | 810/10000 [25:25<5:36:38,  2.20s/epoch, loss=3.666, lr=9.8e-05]
Training:   8%|▊         | 810/10000 [25:27<5:36:38,  2.20s/epoch, loss=3.565, lr=9.8e-05]
Training:   8%|▊         | 811/10000 [25:27<5:36:02,  2.19s/epoch, loss=3.565, lr=9.8e-05]
Training:   8%|▊         | 811/10000 [25:29<5:36:02,  2.19s/epoch, loss=3.568, lr=9.8e-05]
Training:   8%|▊         | 812/10000 [25:29<5:34:40,  2.19s/epoch, loss=3.568, lr=9.8e-05]
Training:   8%|▊         | 812/10000 [25:32<5:34:40,  2.19s/epoch, loss=2.914, lr=9.8e-05]
Training:   8%|▊         | 813/10000 [25:32<5:36:05,  2.20s/epoch, loss=2.914, lr=9.8e-05]
Training:   8%|▊         | 813/10000 [25:34<5:36:05,  2.20s/epoch, loss=3.418, lr=9.8e-05]
Training:   8%|▊         | 814/10000 [25:34<5:36:52,  2.20s/epoch, loss=3.418, lr=9.8e-05]
Training:   8%|▊         | 814/10000 [25:36<5:36:52,  2.20s/epoch, loss=3.247, lr=9.8e-05]
Training:   8%|▊         | 815/10000 [25:36<5:35:39,  2.19s/epoch, loss=3.247, lr=9.8e-05]
Training:   8%|▊         | 815/10000 [25:38<5:35:39,  2.19s/epoch, loss=2.58, lr=9.8e-05] 
Training:   8%|▊         | 816/10000 [25:38<5:36:30,  2.20s/epoch, loss=2.58, lr=9.8e-05]
Training:   8%|▊         | 816/10000 [25:40<5:36:30,  2.20s/epoch, loss=2.974, lr=9.8e-05]
Training:   8%|▊         | 817/10000 [25:40<5:36:46,  2.20s/epoch, loss=2.974, lr=9.8e-05]
Training:   8%|▊         | 817/10000 [25:43<5:36:46,  2.20s/epoch, loss=2.763, lr=9.8e-05]
Training:   8%|▊         | 818/10000 [25:43<5:35:44,  2.19s/epoch, loss=2.763, lr=9.8e-05]
Training:   8%|▊         | 818/10000 [25:45<5:35:44,  2.19s/epoch, loss=3.16, lr=9.8e-05] 
Training:   8%|▊         | 819/10000 [25:45<5:35:19,  2.19s/epoch, loss=3.16, lr=9.8e-05]
Training:   8%|▊         | 819/10000 [25:47<5:35:19,  2.19s/epoch, loss=3.018, lr=9.8e-05]
Training:   8%|▊         | 820/10000 [25:47<5:35:13,  2.19s/epoch, loss=3.018, lr=9.8e-05]
Training:   8%|▊         | 820/10000 [25:49<5:35:13,  2.19s/epoch, loss=2.813, lr=9.8e-05]
Training:   8%|▊         | 821/10000 [25:49<5:34:53,  2.19s/epoch, loss=2.813, lr=9.8e-05]
Training:   8%|▊         | 821/10000 [25:51<5:34:53,  2.19s/epoch, loss=3.075, lr=9.8e-05]
Training:   8%|▊         | 822/10000 [25:51<5:34:51,  2.19s/epoch, loss=3.075, lr=9.8e-05]
Training:   8%|▊         | 822/10000 [25:54<5:34:51,  2.19s/epoch, loss=2.96, lr=9.8e-05] 
Training:   8%|▊         | 823/10000 [25:54<5:34:24,  2.19s/epoch, loss=2.96, lr=9.8e-05]
Training:   8%|▊         | 823/10000 [25:56<5:34:24,  2.19s/epoch, loss=2.616, lr=9.8e-05]
Training:   8%|▊         | 824/10000 [25:56<5:34:38,  2.19s/epoch, loss=2.616, lr=9.8e-05]
Training:   8%|▊         | 824/10000 [25:58<5:34:38,  2.19s/epoch, loss=2.749, lr=9.8e-05]
Training:   8%|▊         | 825/10000 [25:58<5:35:34,  2.19s/epoch, loss=2.749, lr=9.8e-05]
Training:   8%|▊         | 825/10000 [26:00<5:35:34,  2.19s/epoch, loss=2.702, lr=9.8e-05]
Training:   8%|▊         | 826/10000 [26:00<5:34:35,  2.19s/epoch, loss=2.702, lr=9.8e-05]
Training:   8%|▊         | 826/10000 [26:02<5:34:35,  2.19s/epoch, loss=2.455, lr=9.8e-05]
Training:   8%|▊         | 827/10000 [26:03<5:43:15,  2.25s/epoch, loss=2.455, lr=9.8e-05]
Training:   8%|▊         | 827/10000 [26:05<5:43:15,  2.25s/epoch, loss=2.519, lr=9.8e-05]
Training:   8%|▊         | 828/10000 [26:05<5:40:20,  2.23s/epoch, loss=2.519, lr=9.8e-05]
Training:   8%|▊         | 828/10000 [26:07<5:40:20,  2.23s/epoch, loss=2.766, lr=9.8e-05]
Training:   8%|▊         | 829/10000 [26:07<5:39:21,  2.22s/epoch, loss=2.766, lr=9.8e-05]
Training:   8%|▊         | 829/10000 [26:09<5:39:21,  2.22s/epoch, loss=2.445, lr=9.8e-05]
Training:   8%|▊         | 830/10000 [26:09<5:45:24,  2.26s/epoch, loss=2.445, lr=9.8e-05]
Training:   8%|▊         | 830/10000 [26:11<5:45:24,  2.26s/epoch, loss=2.414, lr=9.8e-05]
Training:   8%|▊         | 831/10000 [26:12<5:50:32,  2.29s/epoch, loss=2.414, lr=9.8e-05]
Training:   8%|▊         | 831/10000 [26:14<5:50:32,  2.29s/epoch, loss=2.602, lr=9.8e-05]
Training:   8%|▊         | 832/10000 [26:14<5:44:37,  2.26s/epoch, loss=2.602, lr=9.8e-05]
Training:   8%|▊         | 832/10000 [26:16<5:44:37,  2.26s/epoch, loss=2.308, lr=9.8e-05]
Training:   8%|▊         | 833/10000 [26:16<6:00:37,  2.36s/epoch, loss=2.308, lr=9.8e-05]
Training:   8%|▊         | 833/10000 [26:19<6:00:37,  2.36s/epoch, loss=2.504, lr=9.8e-05]
Training:   8%|▊         | 834/10000 [26:19<5:52:04,  2.30s/epoch, loss=2.504, lr=9.8e-05]
Training:   8%|▊         | 834/10000 [26:21<5:52:04,  2.30s/epoch, loss=2.275, lr=9.8e-05]
Training:   8%|▊         | 835/10000 [26:21<5:56:17,  2.33s/epoch, loss=2.275, lr=9.8e-05]
Training:   8%|▊         | 835/10000 [26:23<5:56:17,  2.33s/epoch, loss=2.614, lr=9.8e-05]
Training:   8%|▊         | 836/10000 [26:23<5:50:33,  2.30s/epoch, loss=2.614, lr=9.8e-05]
Training:   8%|▊         | 836/10000 [26:25<5:50:33,  2.30s/epoch, loss=2.169, lr=9.8e-05]
Training:   8%|▊         | 837/10000 [26:26<5:54:43,  2.32s/epoch, loss=2.169, lr=9.8e-05]
Training:   8%|▊         | 837/10000 [26:28<5:54:43,  2.32s/epoch, loss=2.558, lr=9.8e-05]
Training:   8%|▊         | 838/10000 [26:28<5:48:41,  2.28s/epoch, loss=2.558, lr=9.8e-05]
Training:   8%|▊         | 838/10000 [26:30<5:48:41,  2.28s/epoch, loss=2.231, lr=9.8e-05]
Training:   8%|▊         | 839/10000 [26:30<5:44:24,  2.26s/epoch, loss=2.231, lr=9.8e-05]
Training:   8%|▊         | 839/10000 [26:32<5:44:24,  2.26s/epoch, loss=2.559, lr=9.8e-05]
Training:   8%|▊         | 840/10000 [26:32<5:42:04,  2.24s/epoch, loss=2.559, lr=9.8e-05]
Training:   8%|▊         | 840/10000 [26:34<5:42:04,  2.24s/epoch, loss=2.324, lr=9.8e-05]
Training:   8%|▊         | 841/10000 [26:34<5:40:18,  2.23s/epoch, loss=2.324, lr=9.8e-05]
Training:   8%|▊         | 841/10000 [26:37<5:40:18,  2.23s/epoch, loss=2.598, lr=9.8e-05]
Training:   8%|▊         | 842/10000 [26:37<5:37:49,  2.21s/epoch, loss=2.598, lr=9.8e-05]
Training:   8%|▊         | 842/10000 [26:39<5:37:49,  2.21s/epoch, loss=2.511, lr=9.8e-05]
